Area Name,Division,Ownership,Household Size,Total number of female headed households,No exclusive room,1,2,3,4,5,6 and above
 JAMMU & KASHMIR,Total,Owned,9+," 10,283 ", 299 , 938 ," 1,721 "," 2,259 "," 1,951 "," 1,028 "," 2,087 "
 JAMMU & KASHMIR,Total,Rented,All Households," 3,918 ", 195 ," 1,759 "," 1,269 ", 425 , 170 , 51 , 49 
 JAMMU & KASHMIR,Total,Rented,1, 400 , 38 , 242 , 86 , 21 , 11 , 1 , 1 
 JAMMU & KASHMIR,Total,Rented,2, 572 , 31 , 308 , 175 , 38 , 11 , 7 , 2 
 JAMMU & KASHMIR,Total,Rented,3, 903 , 47 , 446 , 289 , 83 , 27 , 6 , 5 
 JAMMU & KASHMIR,Total,Rented,4, 754 , 36 , 322 , 274 , 69 , 34 , 9 , 10 
 JAMMU & KASHMIR,Total,Rented,5, 606 , 20 , 210 , 238 , 95 , 27 , 9 , 7 
 JAMMU & KASHMIR,Total,Rented,608, 549 , 20 , 195 , 169 , 96 , 46 , 9 , 14 
 JAMMU & KASHMIR,Total,Rented,9+, 134 , 3 , 36 , 38 , 23 , 14 , 10 , 10 
 JAMMU & KASHMIR,Total,Any Other,All Households," 2,285 ", 168 ," 1,199 ", 606 , 201 , 60 , 22 , 29 
 JAMMU & KASHMIR,Total,Any Other,1, 359 , 30 , 223 , 75 , 24 , 3 , 2 , 2 
 JAMMU & KASHMIR,Total,Any Other,2, 395 , 34 , 221 , 103 , 30 , 3 , 1 , 3 
 JAMMU & KASHMIR,Total,Any Other,3, 428 , 44 , 232 , 102 , 34 , 8 , 7 , 1 
 JAMMU & KASHMIR,Total,Any Other,4, 391 , 25 , 193 , 115 , 36 , 13 , 1 , 8 
 JAMMU & KASHMIR,Total,Any Other,5, 311 , 10 , 165 , 87 , 30 , 9 , 6 , 4 
 JAMMU & KASHMIR,Total,Any Other,608, 319 , 20 , 140 , 95 , 39 , 15 , 4 , 6 
 JAMMU & KASHMIR,Total,Any Other,9+, 82 , 5 , 25 , 29 , 8 , 9 , 1 , 5 
 JAMMU & KASHMIR,Rural,Total,All Households," 1,12,137 "," 4,093 "," 31,230 "," 34,031 "," 22,581 "," 12,466 "," 3,943 "," 3,793 "
 JAMMU & KASHMIR,Rural,Total,1," 8,824 ", 514 ," 4,946 "," 2,149 ", 747 , 313 , 76 , 79 
 JAMMU & KASHMIR,Rural,Total,2," 14,432 ", 685 ," 6,168 "," 4,592 "," 1,807 ", 850 , 194 , 136 
 JAMMU & KASHMIR,Rural,Total,3," 21,212 ", 771 ," 6,403 "," 6,735 "," 4,144 "," 2,168 ", 607 , 384 
 JAMMU & KASHMIR,Rural,Total,4," 20,424 ", 696 ," 5,003 "," 6,588 "," 4,499 "," 2,415 ", 710 , 513 
 JAMMU & KASHMIR,Rural,Total,5," 16,120 ", 518 ," 3,496 "," 5,269 "," 3,792 "," 1,929 ", 624 , 492 
 JAMMU & KASHMIR,Rural,Total,608," 24,511 ", 719 ," 4,425 "," 7,350 "," 5,977 "," 3,578 "," 1,155 "," 1,307 "
 JAMMU & KASHMIR,Rural,Total,9+," 6,614 ", 190 , 789 ," 1,348 "," 1,615 "," 1,213 ", 577 , 882 
 JAMMU & KASHMIR,Rural,Owned,All Households," 1,10,426 "," 3,912 "," 30,403 "," 33,600 "," 22,409 "," 12,412 "," 3,919 "," 3,771 "
 JAMMU & KASHMIR,Rural,Owned,1," 8,585 ", 478 ," 4,819 "," 2,098 ", 731 , 306 , 75 , 78 
 JAMMU & KASHMIR,Rural,Owned,2," 14,167 ", 652 ," 6,027 "," 4,526 "," 1,788 ", 847 , 192 , 135 
 JAMMU & KASHMIR,Rural,Owned,3," 20,865 ", 722 ," 6,236 "," 6,658 "," 4,106 "," 2,161 ", 598 , 384 
 JAMMU & KASHMIR,Rural,Owned,4," 20,142 ", 670 ," 4,878 "," 6,503 "," 4,473 "," 2,403 ", 708 , 507 
 JAMMU & KASHMIR,Rural,Owned,5," 15,921 ", 505 ," 3,397 "," 5,216 "," 3,770 "," 1,923 ", 620 , 490 
 JAMMU & KASHMIR,Rural,Owned,608," 24,211 ", 700 ," 4,289 "," 7,271 "," 5,938 "," 3,565 "," 1,150 "," 1,298 "
 JAMMU & KASHMIR,Rural,Owned,9+," 6,535 ", 185 , 757 ," 1,328 "," 1,603 "," 1,207 ", 576 , 879 
 JAMMU & KASHMIR,Rural,Rented,All Households, 884 , 81 , 384 , 268 , 95 , 35 , 14 , 7 
 JAMMU & KASHMIR,Rural,Rented,1, 120 , 21 , 56 , 27 , 9 , 6 , 1 , -   
 JAMMU & KASHMIR,Rural,Rented,2, 117 , 9 , 55 , 41 , 8 , 2 , 2 , -   
 JAMMU & KASHMIR,Rural,Rented,3, 179 , 24 , 76 , 49 , 21 , 5 , 4 , -   
 JAMMU & KASHMIR,Rural,Rented,4, 158 , 13 , 63 , 59 , 13 , 7 , 2 , 1 
 JAMMU & KASHMIR,Rural,Rented,5, 109 , 6 , 47 , 38 , 12 , 4 , 1 , 1 
 JAMMU & KASHMIR,Rural,Rented,608, 159 , 7 , 70 , 42 , 24 , 9 , 3 , 4 
 JAMMU & KASHMIR,Rural,Rented,9+, 42 , 1 , 17 , 12 , 8 , 2 , 1 , 1 
 JAMMU & KASHMIR,Rural,Any Other,All Households, 827 , 100 , 443 , 163 , 77 , 19 , 10 , 15 
 JAMMU & KASHMIR,Rural,Any Other,1, 119 , 15 , 71 , 24 , 7 , 1 , -   , 1 
